campaign_id,contact,month,campaign,previous,poutcome,pdays
1,unknown,may,1,0,unknown,-1
2,unknown,may,2,0,unknown,-1
3,unknown,may,3,0,unknown,-1
4,unknown,may,5,0,unknown,-1
5,unknown,may,4,0,unknown,-1
6,unknown,may,6,0,unknown,-1
7,unknown,may,7,0,unknown,-1
8,unknown,may,8,0,unknown,-1
9,unknown,may,9,0,unknown,-1
10,unknown,may,10,0,unknown,-1
11,unknown,may,11,0,unknown,-1
12,unknown,may,12,0,unknown,-1
13,unknown,may,13,0,unknown,-1
14,unknown,may,19,0,unknown,-1
15,unknown,may,14,0,unknown,-1
16,unknown,may,24,0,unknown,-1
17,unknown,may,16,0,unknown,-1
18,unknown,may,32,0,unknown,-1
19,unknown,may,18,0,unknown,-1
20,unknown,may,22,0,unknown,-1
21,unknown,may,15,0,unknown,-1
22,unknown,may,17,0,unknown,-1
23,unknown,may,25,0,unknown,-1
24,unknown,may,21,0,unknown,-1
25,unknown,may,43,0,unknown,-1
26,unknown,may,51,0,unknown,-1
27,unknown,may,63,0,unknown,-1
28,unknown,may,41,0,unknown,-1
29,unknown,may,26,0,unknown,-1
30,unknown,may,28,0,unknown,-1
31,unknown,may,55,0,unknown,-1
32,unknown,may,50,0,unknown,-1
33,unknown,may,38,0,unknown,-1
34,unknown,may,23,0,unknown,-1
35,unknown,may,20,0,unknown,-1
36,unknown,jun,7,0,unknown,-1
37,unknown,jun,2,0,unknown,-1
38,unknown,jun,3,0,unknown,-1
39,unknown,jun,9,0,unknown,-1
40,unknown,jun,4,0,unknown,-1
41,unknown,jun,5,0,unknown,-1
42,unknown,jun,1,0,unknown,-1
43,unknown,jun,8,0,unknown,-1
44,unknown,jun,13,0,unknown,-1
45,unknown,jun,21,0,unknown,-1
46,unknown,jun,6,0,unknown,-1
47,unknown,jun,12,0,unknown,-1
48,unknown,jun,11,0,unknown,-1
49,unknown,jun,32,0,unknown,-1
50,unknown,jun,10,0,unknown,-1
51,unknown,jun,15,0,unknown,-1
52,unknown,jun,25,0,unknown,-1
53,unknown,jun,16,0,unknown,-1
54,unknown,jun,14,0,unknown,-1
55,unknown,jun,26,0,unknown,-1
56,unknown,jun,28,0,unknown,-1
57,unknown,jun,18,0,unknown,-1
58,unknown,jun,20,0,unknown,-1
59,unknown,jun,19,0,unknown,-1
60,unknown,jun,17,0,unknown,-1
61,unknown,jun,24,0,unknown,-1
62,unknown,jun,29,0,unknown,-1
63,unknown,jun,31,0,unknown,-1
64,unknown,jun,37,0,unknown,-1
65,unknown,jun,30,0,unknown,-1
66,unknown,jun,46,0,unknown,-1
67,unknown,jun,23,0,unknown,-1
68,unknown,jun,27,0,unknown,-1
69,unknown,jun,41,0,unknown,-1
70,unknown,jun,22,0,unknown,-1
71,unknown,jun,58,0,unknown,-1
72,unknown,jun,33,0,unknown,-1
73,unknown,jul,4,0,unknown,-1
74,unknown,jul,3,0,unknown,-1
75,unknown,jul,2,0,unknown,-1
76,unknown,jul,9,0,unknown,-1
77,unknown,jul,1,0,unknown,-1
78,unknown,jul,10,0,unknown,-1
79,unknown,jul,5,0,unknown,-1
80,unknown,jul,11,0,unknown,-1
81,unknown,jul,6,0,unknown,-1
82,cellular,jul,1,0,unknown,-1
83,cellular,jul,2,0,unknown,-1
84,telephone,jul,2,0,unknown,-1
85,cellular,jul,4,0,unknown,-1
86,cellular,jul,3,0,unknown,-1
87,cellular,jul,6,0,unknown,-1
88,telephone,jul,3,0,unknown,-1
89,cellular,jul,5,0,unknown,-1
90,cellular,jul,19,0,unknown,-1
91,telephone,jul,6,0,unknown,-1
92,telephone,jul,5,0,unknown,-1
93,cellular,jul,9,0,unknown,-1
94,telephone,jul,9,0,unknown,-1
95,telephone,jul,8,0,unknown,-1
96,telephone,jul,4,0,unknown,-1
97,cellular,jul,7,0,unknown,-1
98,cellular,jul,14,0,unknown,-1
99,telephone,jul,1,0,unknown,-1
100,telephone,jul,15,0,unknown,-1
101,cellular,jul,11,0,unknown,-1
102,cellular,jul,12,0,unknown,-1
103,cellular,jul,30,0,unknown,-1
104,cellular,jul,33,0,unknown,-1
105,cellular,jul,8,0,unknown,-1
106,telephone,jul,13,0,unknown,-1
107,cellular,jul,20,0,unknown,-1
108,cellular,jul,10,0,unknown,-1
109,cellular,jul,24,0,unknown,-1
110,telephone,jul,17,0,unknown,-1
111,cellular,jul,26,0,unknown,-1
112,telephone,jul,7,0,unknown,-1
113,cellular,jul,35,0,unknown,-1
114,cellular,jul,13,0,unknown,-1
115,unknown,jul,8,0,unknown,-1
116,unknown,jul,16,0,unknown,-1
117,cellular,jul,17,0,unknown,-1
118,unknown,jul,20,0,unknown,-1
119,telephone,jul,43,0,unknown,-1
120,telephone,jul,10,0,unknown,-1
121,telephone,jul,20,0,unknown,-1
122,cellular,jul,15,0,unknown,-1
123,telephone,jul,27,0,unknown,-1
124,telephone,jul,14,0,unknown,-1
125,telephone,jul,12,0,unknown,-1
126,telephone,jul,11,0,unknown,-1
127,cellular,jul,16,0,unknown,-1
128,telephone,jul,31,0,unknown,-1
129,cellular,jul,28,0,unknown,-1
130,telephone,jul,21,0,unknown,-1
131,telephone,jul,16,0,unknown,-1
132,cellular,jul,29,0,unknown,-1
133,cellular,jul,21,0,unknown,-1
134,cellular,jul,18,0,unknown,-1
135,cellular,jul,31,0,unknown,-1
136,telephone,jul,18,0,unknown,-1
137,cellular,jul,23,0,unknown,-1
138,cellular,jul,22,0,unknown,-1
139,telephone,jul,35,0,unknown,-1
140,cellular,jul,25,0,unknown,-1
141,telephone,jul,19,0,unknown,-1
142,cellular,jul,34,0,unknown,-1
143,cellular,jul,36,0,unknown,-1
144,cellular,jul,27,0,unknown,-1
145,cellular,jul,39,0,unknown,-1
146,telephone,jul,33,0,unknown,-1
147,cellular,jul,43,0,unknown,-1
148,cellular,jul,32,0,unknown,-1
149,telephone,jul,34,0,unknown,-1
150,telephone,jul,24,0,unknown,-1
151,telephone,jul,29,0,unknown,-1
152,telephone,jul,38,0,unknown,-1
153,cellular,jul,50,0,unknown,-1
154,cellular,jul,44,0,unknown,-1
155,telephone,jul,25,0,unknown,-1
156,cellular,aug,1,0,unknown,-1
157,unknown,aug,1,0,unknown,-1
158,cellular,aug,2,0,unknown,-1
159,telephone,aug,2,0,unknown,-1
160,cellular,aug,4,0,unknown,-1
161,cellular,aug,3,0,unknown,-1
162,cellular,aug,8,0,unknown,-1
163,cellular,aug,5,0,unknown,-1
164,telephone,aug,4,0,unknown,-1
165,cellular,aug,6,0,unknown,-1
166,telephone,aug,6,0,unknown,-1
167,cellular,aug,7,0,unknown,-1
168,cellular,aug,12,0,unknown,-1
169,cellular,aug,9,0,unknown,-1
170,telephone,aug,5,0,unknown,-1
171,telephone,aug,3,0,unknown,-1
172,telephone,aug,7,0,unknown,-1
173,cellular,aug,18,0,unknown,-1
174,cellular,aug,11,0,unknown,-1
175,unknown,aug,4,0,unknown,-1
176,cellular,aug,10,0,unknown,-1
177,cellular,aug,15,0,unknown,-1
178,cellular,aug,13,0,unknown,-1
179,telephone,aug,10,0,unknown,-1
180,unknown,aug,2,0,unknown,-1
181,cellular,aug,16,0,unknown,-1
182,telephone,aug,8,0,unknown,-1
183,telephone,aug,9,0,unknown,-1
184,cellular,aug,17,0,unknown,-1
185,cellular,aug,19,0,unknown,-1
186,cellular,aug,14,0,unknown,-1
187,telephone,aug,1,0,unknown,-1
188,telephone,aug,12,0,unknown,-1
189,telephone,aug,11,0,unknown,-1
190,telephone,aug,13,0,unknown,-1
191,cellular,aug,20,0,unknown,-1
192,cellular,aug,25,0,unknown,-1
193,telephone,aug,20,0,unknown,-1
194,cellular,aug,21,0,unknown,-1
195,cellular,aug,22,0,unknown,-1
196,cellular,aug,30,0,unknown,-1
197,cellular,aug,23,0,unknown,-1
198,telephone,aug,18,0,unknown,-1
199,telephone,aug,15,0,unknown,-1
200,cellular,aug,38,0,unknown,-1
201,telephone,aug,14,0,unknown,-1
202,cellular,aug,34,0,unknown,-1
203,telephone,aug,16,0,unknown,-1
204,cellular,aug,28,0,unknown,-1
205,telephone,aug,28,0,unknown,-1
206,telephone,aug,19,0,unknown,-1
207,cellular,aug,24,0,unknown,-1
208,cellular,aug,35,0,unknown,-1
209,cellular,aug,32,0,unknown,-1
210,cellular,aug,26,0,unknown,-1
211,telephone,aug,24,0,unknown,-1
212,unknown,aug,15,0,unknown,-1
213,cellular,aug,27,0,unknown,-1
214,cellular,aug,31,0,unknown,-1
215,telephone,aug,27,0,unknown,-1
216,telephone,oct,1,0,unknown,-1
217,unknown,oct,1,0,unknown,-1
218,telephone,oct,1,3,failure,151
219,telephone,oct,1,1,other,166
220,telephone,oct,1,4,failure,91
221,telephone,oct,1,4,other,86
222,telephone,oct,1,3,failure,143
223,unknown,oct,1,2,success,147
224,telephone,oct,1,2,other,89
225,cellular,oct,1,0,unknown,-1
226,cellular,nov,1,0,unknown,-1
227,telephone,nov,1,0,unknown,-1
228,unknown,nov,1,0,unknown,-1
229,telephone,nov,1,4,other,140
230,telephone,nov,1,1,failure,176
231,unknown,nov,1,11,other,101
232,telephone,nov,1,2,failure,174
233,unknown,nov,1,3,failure,170
234,telephone,nov,1,3,success,167
235,telephone,nov,1,1,failure,174
236,cellular,nov,1,2,failure,195
237,cellular,nov,1,2,failure,165
238,cellular,nov,1,2,failure,129
239,cellular,nov,1,1,failure,188
240,cellular,nov,1,2,failure,196
241,cellular,nov,1,1,failure,172
242,cellular,nov,1,1,failure,118
243,cellular,nov,1,2,failure,167
244,cellular,nov,1,3,failure,119
245,cellular,nov,1,2,other,104
246,cellular,nov,1,2,failure,171
247,cellular,nov,1,2,other,117
248,cellular,nov,1,2,success,164
249,cellular,nov,2,0,unknown,-1
250,cellular,nov,1,1,failure,132
251,cellular,nov,1,1,failure,131
252,cellular,nov,1,2,failure,123
253,cellular,nov,1,1,success,159
254,cellular,nov,1,2,failure,186
255,cellular,nov,1,1,failure,186
256,cellular,nov,1,16,other,167
257,telephone,nov,1,6,failure,111
258,cellular,nov,1,5,other,115
259,cellular,nov,1,2,failure,172
260,cellular,nov,1,2,failure,111
261,cellular,nov,1,1,failure,116
262,cellular,nov,2,1,failure,173
263,cellular,nov,1,1,failure,123
264,telephone,nov,3,0,unknown,-1
265,cellular,nov,1,2,other,178
266,cellular,nov,1,10,failure,166
267,cellular,nov,1,3,failure,164
268,unknown,nov,1,3,failure,111
269,cellular,nov,2,2,failure,110
270,cellular,nov,1,1,failure,115
271,cellular,nov,1,1,failure,152
272,unknown,nov,2,4,failure,96
273,cellular,nov,1,4,failure,103
274,unknown,nov,1,2,other,103
275,cellular,nov,1,2,failure,174
276,cellular,nov,2,3,failure,118
277,unknown,nov,2,1,failure,150
278,cellular,nov,1,1,other,188
279,cellular,nov,3,0,unknown,-1
280,cellular,nov,1,2,failure,175
281,cellular,nov,2,1,failure,196
282,unknown,nov,1,2,failure,110
283,cellular,nov,1,1,failure,104
284,cellular,nov,2,3,failure,193
285,cellular,nov,2,1,failure,104
286,cellular,nov,2,2,failure,188
287,cellular,nov,1,1,failure,181
288,cellular,nov,1,4,success,103
289,cellular,nov,2,2,other,165
290,cellular,nov,1,4,other,185
291,cellular,nov,1,3,failure,123
292,cellular,nov,1,2,failure,181
293,cellular,nov,1,3,failure,154
294,cellular,nov,1,1,failure,145
295,cellular,nov,3,1,other,181
296,cellular,nov,1,5,other,171
297,telephone,nov,1,10,success,119
298,cellular,nov,1,1,other,145
299,cellular,nov,1,2,failure,138
300,cellular,nov,2,2,failure,171
301,cellular,nov,1,2,other,171
302,cellular,nov,2,3,failure,126
303,cellular,nov,1,3,success,150
304,cellular,nov,1,2,failure,96
305,cellular,nov,1,2,failure,188
306,cellular,nov,3,12,failure,150
307,cellular,nov,1,1,failure,173
308,cellular,nov,3,2,failure,132
309,cellular,nov,1,3,failure,126
310,cellular,nov,2,4,failure,111
311,cellular,nov,1,1,success,193
312,cellular,nov,2,1,failure,119
313,cellular,nov,1,7,other,123
314,cellular,nov,2,2,failure,195
315,cellular,nov,1,2,failure,151
316,cellular,nov,1,3,failure,180
317,cellular,nov,1,1,failure,195
318,cellular,nov,1,2,other,150
319,telephone,nov,1,18,other,129
320,cellular,nov,2,1,other,131
321,cellular,nov,2,1,failure,180
322,cellular,nov,2,9,failure,109
323,cellular,nov,2,1,failure,129
324,unknown,nov,3,2,failure,186
325,telephone,nov,2,0,unknown,-1
326,cellular,nov,2,2,failure,193
327,unknown,nov,2,3,failure,101
328,cellular,nov,2,1,success,150
329,cellular,nov,2,2,failure,172
330,unknown,nov,2,21,other,109
331,cellular,nov,5,6,failure,167
332,cellular,nov,2,1,failure,186
333,cellular,nov,2,2,failure,119
334,cellular,nov,2,1,failure,151
335,cellular,nov,2,3,failure,117
336,cellular,nov,4,0,unknown,-1
337,telephone,nov,2,8,other,158
338,unknown,nov,2,0,unknown,-1
339,telephone,nov,2,11,failure,109
340,telephone,nov,4,6,failure,111
341,telephone,nov,3,4,failure,131
342,cellular,nov,2,2,failure,96
343,cellular,nov,4,3,failure,119
344,telephone,nov,2,2,failure,168
345,cellular,nov,2,1,failure,172
346,cellular,nov,2,1,failure,131
347,telephone,nov,4,0,unknown,-1
348,cellular,nov,2,1,failure,195
349,cellular,nov,1,7,failure,186
350,cellular,nov,1,3,failure,117
351,cellular,nov,2,4,failure,171
352,cellular,nov,3,4,failure,186
353,cellular,nov,2,2,failure,151
354,cellular,nov,4,4,failure,109
355,cellular,nov,2,2,failure,126
