customer_id,age,job,marital,education,default,balance,housing,loan
07b9983a53a8123c35638c292f66ec9d,58,management,married,tertiary,no,2143,yes,no
9aba15e01ba21191c3b5f8094da7b16a,44,technician,single,secondary,no,29,yes,no
636d5b985398f6cbc9f02e72f859b88f,33,entrepreneur,married,secondary,no,2,yes,yes
5de298b6213db09168e60b54cdb6aa8e,47,blue-collar,married,unknown,no,1506,yes,no
42ac3b530295da74d000a9efed2db7a8,33,unknown,single,unknown,no,1,no,no
fd1b7968d8266a7ad946029414e7e2b2,35,management,married,tertiary,no,231,yes,no
09bff74b466723a5481b82fce45bdb04,28,management,single,tertiary,no,447,yes,yes
44b956d7707913d392e77f55c536569d,42,entrepreneur,divorced,tertiary,yes,2,yes,no
3a009284952cf7abb37ac42240545ac8,58,retired,married,primary,no,121,yes,no
fe2f27252586a2011fe95afde7ac4a36,43,technician,single,secondary,no,593,yes,no
d587927f4b188df7753e7ce88e13022b,41,admin.,divorced,secondary,no,270,yes,no
9a9189b4e52576c15d14edc191daa0d4,29,admin.,single,secondary,no,390,yes,no
b27234e0d108dab4efb23bd8e6caf389,53,technician,married,secondary,no,6,yes,no
cd92e315f8316acf6711953f7bc8a28f,58,technician,married,unknown,no,71,yes,no
73d09415af7d7bd7d3763b8fcd923da3,57,services,married,secondary,no,162,yes,no
32208333f0830a9bbd9b905e41862765,51,retired,married,primary,no,229,yes,no
ca071d4ad3877e68935e5b95a8981164,45,admin.,single,unknown,no,13,yes,no
ed77652b1cdfa18340f7a564cc4802da,57,blue-collar,married,primary,no,52,yes,no
f2281d1dc6d892c93e3dca9f901fa8fc,60,retired,married,primary,no,60,yes,no
050f163d57c80959964965d1d53413e0,33,services,married,secondary,no,0,yes,no
6bc8226805406f7cdfbb810b09f41175,28,blue-collar,married,secondary,no,723,yes,yes
191e8c6b78df0f904a330c0913e28813,56,management,married,tertiary,no,779,yes,no
5021347d762fe327a7864f55bbaabfa1,32,blue-collar,single,primary,no,23,yes,yes
870b8d2d25dbaac9512354ab47fe90d3,25,services,married,secondary,no,50,yes,no
180ede2454ed6bf9afa237a5d61ff31a,40,retired,married,primary,no,0,yes,yes
ea769094774fdebac8a2605e0d9ce3c2,44,admin.,married,secondary,no,-372,yes,no
441482c4548ddf6b799ccefc36602458,39,management,single,tertiary,no,255,yes,no
54638ba6ee59cf2cc76d26c4458dc341,52,entrepreneur,married,secondary,no,113,yes,yes
41ea5ac2984c72223231696a32e5d2eb,46,management,single,secondary,no,-246,yes,no
caf8a90805af706e501360efc1eda0fd,36,technician,single,secondary,no,265,yes,yes
51ed3fb980ac0ad969532e1dbfba30fc,57,technician,married,secondary,no,839,no,yes
91226a6d6393d8d7626718fecd8a1b68,49,management,married,tertiary,no,378,yes,no
e9c15a53983a43554c7b78b8f5c0b93e,60,admin.,married,secondary,no,39,yes,yes
18ac26f9f6413d49369d4f23d642eb84,59,blue-collar,married,secondary,no,0,yes,no
a742ae01b96b8d771bb16f2585cd3feb,51,management,married,tertiary,no,10635,yes,no
99a07774918a90fe1c1450b1a8772f46,57,technician,divorced,secondary,no,63,yes,no
c43ec6ab4265b0cb50499b3da3d4637d,25,blue-collar,married,secondary,no,-7,yes,no
0197945b69aecc1d08fdf20bf741314f,53,technician,married,secondary,no,-3,no,no
684ce0b1ddea0e4844835bda389e9005,36,admin.,divorced,secondary,no,506,yes,no
1ac2445b1fbaddc7379012145141f99e,37,admin.,single,secondary,no,0,yes,no
d94a18754bc0563d53c24cccbdff862b,44,services,divorced,secondary,no,2586,yes,no
d848b3a07d2f5c983bc49796bc8e815e,50,management,married,secondary,no,49,yes,no
cd644110440d5e063c7a35e04b108b8b,60,blue-collar,married,unknown,no,104,yes,no
59947c72e45f6680853bf6788df39adc,54,retired,married,secondary,no,529,yes,no
43de8d5325472d6f94d03ea852893d36,58,retired,married,unknown,no,96,yes,no
5c510c42dfc96059e6653ed5ec235054,36,admin.,single,primary,no,-171,yes,no
36eadbc817b86415b0e6e3ca78801719,58,self-employed,married,tertiary,no,-364,yes,no
7f0da48d099371b249c0aec96f85fb01,44,technician,married,secondary,no,0,yes,no
6d20360235afbd22c21f8ff3303527ac,55,technician,divorced,secondary,no,0,no,no
7f930d3a122ad40b7eccd299568ac71e,29,management,single,tertiary,no,0,yes,no
1a820f62a07886429ae2582aa2c67fcc,54,blue-collar,married,secondary,no,1291,yes,no
786778ff2d8552b272503ddc565482b8,48,management,divorced,tertiary,no,-244,yes,no
7f2dda1e5c7f439240adff7499ff0fa3,32,management,married,tertiary,no,0,yes,no
d6b71e26b3773cd9bdaa39b5466547a1,42,admin.,single,secondary,no,-76,yes,no
2b4a4b99b9aa7fe137260d920ca03048,24,technician,single,secondary,no,-103,yes,yes
4754e59636c2ced1221129d09628ada1,38,entrepreneur,single,tertiary,no,243,no,yes
c9897b6b175141a118830126960a9bae,38,management,single,tertiary,no,424,yes,no
9d600c315c59e05917d5bced3a71cbcb,47,blue-collar,married,unknown,no,306,yes,no
69d7961fd7edd2ac0d47839144230cd4,40,blue-collar,single,unknown,no,24,yes,no
1ed8d3b5c667ed7319ddaa0b3c4a7a29,46,services,married,primary,no,179,yes,no
6a63dad315fbd1f0eb02af3ba36ed49e,32,admin.,married,tertiary,no,0,yes,no
d7c07d111f22e6633cff93c9195555fc,53,technician,divorced,secondary,no,989,yes,no
9e873a8b878c133ff5db09d05d2a3759,57,blue-collar,married,primary,no,249,yes,no
bf8aea8e90645ca7aa748bb85858890c,33,services,married,secondary,no,790,yes,no
7518e0bc7fa5dd721c1fe01836009e76,49,blue-collar,married,unknown,no,154,yes,no
f5fc1a2524ec6104ab4789660326c057,51,management,married,tertiary,no,6530,yes,no
88f9b2b598fc83190c9313b1f8f6b0e2,60,retired,married,tertiary,no,100,no,no
c155110f8fb56732f6b45e853cf2d2f7,59,management,divorced,tertiary,no,59,yes,no
5b4c7bb65bb00d32556c018032a90e05,55,technician,married,secondary,no,1205,yes,no
d42829c1ee9a55e8a7f2ffb392123261,35,blue-collar,single,secondary,no,12223,yes,yes
143851da4f32c761993d343150d35e85,57,blue-collar,married,secondary,no,5935,yes,yes
0f3a5d85d3b5d4e3c890f1411384dfc5,31,services,married,secondary,no,25,yes,yes
9fed3afeaf2d9bf281c8a79af104e119,54,management,married,secondary,no,282,yes,yes
fee77ae094d0bf5b14bbc494388445dc,55,blue-collar,married,primary,no,23,yes,no
